PlanId,PlanName,DesignId,Run,Tags,Output,CreatedBy,CreatedAt
PVarkasa_TC22_Test_product_price_upda,Test product price update functionality,D1,Y,varkasa;Smoke;BRAHL;TC22,case_15_ok,,2026-07-28T18:36:21+00:00
PVarkasa_TC23_Verify_product_quantity,Verify product quantity reduction on cart page,D1,Y,varkasa;Smoke;BRAHL;TC23,case_16_ok,,2026-07-28T18:36:21+00:00
PVarkasa_TC24_Test_product_removal_fr,Test product removal from cart functionality,D1,Y,varkasa;Smoke;BRAHL;TC24,case_17_ok,,2026-07-28T18:36:21+00:00
PVarkasa_TC25_Verify_order_status_upd,Verify order status update on order history page,D1,Y,varkasa;Smoke;BRAHL;TC25,case_18_ok,,2026-07-28T18:36:21+00:00
PVarkasa_TC26_Test_shipping_rate_calc,Test shipping rate calculation on checkout page,D1,Y,varkasa;Smoke;BRAHL;TC26,case_19_ok,,2026-07-28T18:36:21+00:00
PVarkasa_TC27_Verify_payment_method_s,Verify payment method selection on checkout page,D1,Y,varkasa;Smoke;BRAHL;TC27,case_20_ok,,2026-07-28T18:36:21+00:00
PVarkasa_TC28_Test_coupon_code_applic,Test coupon code application on checkout page,D1,Y,varkasa;Smoke;BRAHL;TC28,case_21_ok,,2026-07-28T18:36:21+00:00
PVarkasa_TC29_Verify_product_availabi,Verify product availability on products page,D1,Y,varkasa;Smoke;BRAHL;TC29,case_22_ok,,2026-07-28T18:36:21+00:00
PVarkasa_TC30_Test_product_rating_sub,Test product rating submission functionality,D1,Y,varkasa;Smoke;BRAHL;TC30,case_23_ok,,2026-07-28T18:36:21+00:00
PVarkasa_Man_TC6_Test_admin_dashboard_log,Test admin dashboard login functionality,D1,N,varkasa;Manual;TC6,manual_1_ok,,2026-07-28T18:36:21+00:00
PVarkasa_Man_TC12_Test_settings_page_func,Test settings page functionality and navigation,D1,N,varkasa;Manual;TC12,manual_2_ok,,2026-07-28T18:36:21+00:00
PVarkasa_Man_TC14_Test_manual_mobile_app_,Test manual mobile app installation on iOS device,D1,N,varkasa;Manual;TC14,manual_3_ok,,2026-07-28T18:36:21+00:00
PVarkasa_Man_TC15_Test_user_experience_on,Test user experience on home page navigation,D1,N,varkasa;Manual;TC15,manual_4_ok,,2026-07-28T18:36:21+00:00
PVarkasa_Man_TC16_Test_user_experience_on,Test user experience on product details page navigation,D1,N,varkasa;Manual;TC16,manual_5_ok,,2026-07-28T18:36:21+00:00
PVarkasa_Man_TC17_Test_user_experience_on,Test user experience on checkout page navigation,D1,N,varkasa;Manual;TC17,manual_6_ok,,2026-07-28T18:36:21+00:00
PVarkasa_Man_TC18_Test_user_experience_on,Test user experience on account page navigation,D1,N,varkasa;Manual;TC18,manual_7_ok,,2026-07-28T18:36:21+00:00
